Dane Depto;DEPARTAMENTO;DANE MUNICIPIO;MUNICIPIO/ANM;CENTRO POBLADO;"DANE 
INSTITUCIÓN EDUCATIVA";INSTITUCIÓN EDUCATIVA;DANE SEDE;NOMBRE SEDE;TIPO SITIO;Detalle sitio;ENERGIA;Region;MATRICULA;LATITUD;LONGITUD;GRUPO
27;CHOCÓ;27006;ACANDÍ;CHUGANDI;227006000511;CE CHUGANDI;227006000511;CE CHUGANDI - SEDE PRINCIPAL;SEDES EDUCATIVAS;IE;PLANTA ELÉCTRICA;B;176;8,35166106;-77,1726329;OBLIGATORIOS
27;CHOCÓ;27006;ACANDÍ;VDA PLAYON;227006000449;CE SAN FRANCISCO;227006000571;SEDE PLAYON;SEDES EDUCATIVAS;IE;SIN ENERGIA;B;10;8,458595130;-77,228786200;OBLIGATORIOS
27;CHOCÓ;27006;ACANDÍ;SAN FRANCISCO;227006000449;CE SAN FRANCISCO;227006000449;CE SAN FRANCISCO - SEDE PRINCIPAL;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;247;8,361666667;-77,10972222;OBLIGATORIOS
27;CHOCÓ;27006;ACANDÍ;SAPZURRO;227006000112;IE SAGRADO CORAZON JESUS;227006000082;SEDE  SAPZURRO;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;63;8,658611111;-77,36638889;OBLIGATORIOS
13;BOLÍVAR;13006;ACHÍ;CORREGIMIENTO DE ALGARROBO;213006001975;I.E.T. AGROPECUARIA DE  PUERTO VENECIA;213006000626;ESC NVA DE ALGARROBO;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;38;8,4685;-74,50233333;OBLIGATORIOS
13;BOLÍVAR;13006;ACHÍ;VDA BARRANQUILLITA;213006001975;I.E.T. AGROPECUARIA DE  PUERTO VENECIA;213006003234;BARRANQUILLITA;SEDES EDUCATIVAS;IE;TIENE ENERGÍA;B;34;8,420446952;-74,503946382;Opción 2
13;BOLÍVAR;13006;ACHÍ;BOMBA;213006000057;I.E. DE RIO NUEVO;213006001983;BOMBA;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;50;8,27;-74,245;OBLIGATORIOS
13;BOLÍVAR;13006;ACHÍ;BOYACA;213006001975;I.E.T. AGROPECUARIA DE  PUERTO VENECIA;213006001312;ESCUELA NUEVA DE BOYACA;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;32;8,447833333;-74,52444444;OBLIGATORIOS
13;BOLÍVAR;13006;ACHÍ;BUENAVISTA;213006000065;I.E. DE BUENAVISTA;213006000065;SEDE PRINCIPAL;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;220;8,54740689;-74,52856024;OBLIGATORIOS
13;BOLÍVAR;13006;ACHÍ;DE BUENOS AIRES;213006001975;I.E.T. AGROPECUARIA DE  PUERTO VENECIA;213006000332;BUENOS AIRES;SEDES EDUCATIVAS;IE;RED INTERCONECTADA;B;58;8,497190676;-74,52946989;OBLIGATORIOS
